cond	sd
2 h	0.221142093082064
2 h	0.170098877095028
2 h	0.108191227462121
2 h	0.144897103703368
2 h	0.175213047462801
2 h	0.186943026413066
2 h	0.0818240953758156
2 h	0.210482636938126
2 h	0.177036176824359
2 h	0.230667870832075
2 h	0.17624745010672
2 h	0.138893592836013
2 h	0.210324614086377
2 h	0.138660534652076
2 h	0.164236481664184
2 h	0.148609623544112
2 h	0.202538804402995
2 h	0.134086381867827
2 h	0.188635527501
2 h	0.20235285333415
2 h	0.219940915909626
2 h	0.16689118955845
2 h	0.199868276500194
2 h	0.189505930739361
2 h	0.19390762259548
2 h	0.196888697924131
2 h	0.139994220737063
2 h	0.0980583754783749
2 h	0.186112726312091
2 h	0.193142424965879
2 h	0.188944966251587
2 h	0.213691292342824
2 h	0.137139747461604
2 h	0.2110217530888
2 h	0.211913453399016
2 h	0.167646241872198
2 h	0.133163613472341
2 h	0.184853520179006
2 h	0.21521522607868
2 h	0.179406782585002
2 h	0.211964146912664
2 h	0.222681133155471
2 h	0.175216759347412
2 h	0.181626159418838
2 h	0.153565563232374
2 h	0.176478751340343
2 h	0.200633329284133
2 h	0.202867235442607
2 h	0.122753270913658
2 h	0.1856048584442
2 h	0.157478849605905
2 h	0.0645068886738538
2 h	0.184248318959101
2 h	0.213534444655522
2 h	0.150186494342048
2 h	0.156255606002069
2 h	0.153344260550187
2 h	0.173391506397698
2 h	0.171538310610025
2 h	0.159153179153788
2 h	0.10618300557165
2 h	0.182032714795347
2 h	0.166783992329899
2 h	0.0923566670042904
2 h	0.204163844999373
2 h	0.185697411549672
2 h	0.18499703509893
2 h	0.135307129983719
2 h	0.200085246754771
2 h	0.131752555584005
2 h	0.19594244561305
2 h	0.126948629693046
2 h	0.186434024197485
2 h	0.109335183832326
2 h	0.217787761074414
2 h	0.190058692934576
2 h	0.188119427800434
2 h	0.154526396056323
2 h	0.150826741916037
2 h	0.197864108412768
2 h	0.186576738413509
2 h	0.180286869403425
2 h	0.117358652308695
2 h	0.122105894325856
2 h	0.160253047584024
2 h	0.142098297715564
2 h	0.177029169416444
2 h	0.193789580071601
2 h	0.207250992332127
2 h	0.122130932045453
2 h	0.185420907372503
2 h	0.0744860808258771
2 h	0.144465353080464
2 h	0.175810221359031
2 h	0.104044675594712
2 h	0.187854256000687
2 h	0.195542166437069
2 h	0.12239380854559
2 h	0.185784613596051
2 h	0.191138850663944
2 h	0.165551556012842
2 h	0.184652872058982
2 h	0.176901860198452
2 h	0.113904665306502
2 h	0.211000583621968
2 h	0.177687855687123
2 h	0.170502494856559
2 h	0.143085858568453
2 h	0.148210570813645
2 h	0.155064920277824
2 h	0.159872279600377
2 h	0.158760448479598
2 h	0.140666833513653
2 h	0.145510949502617
2 h	0.148049933275372
2 h	0.183570832868583
2 h	0.159195128140917
2 h	0.211126299673274
2 h	0.135138845519346
2 h	0.209467129406191
2 h	0.213823698261686
