cond	exp	dln
2 h	Exp.1	0.408790737370613
2 h	Exp.1	0.458022439100813
2 h	Exp.1	0.454796721026851
2 h	Exp.1	0.420186838198084
2 h	Exp.1	0.47800701606939
2 h	Exp.1	0.497044612778294
2 h	Exp.1	0.57273452504641
2 h	Exp.1	0.426555172717364
2 h	Exp.1	0.443780594364554
2 h	Exp.1	0.47796111989498
2 h	Exp.1	0.509672558702182
2 h	Exp.1	0.54714986930378
2 h	Exp.1	0.525508372701666
2 h	Exp.1	0.849546494618979
2 h	Exp.1	0.475755982193172
2 h	Exp.1	0.429365290922521
2 h	Exp.1	0.444197168575397
2 h	Exp.1	0.675061003074438
2 h	Exp.1	0.386174009586464
2 h	Exp.1	0.474456114778483
2 h	Exp.1	0.510610767245465
2 h	Exp.1	0.45052504474118
2 h	Exp.1	0.546858046487279
2 h	Exp.1	0.4573089265036
2 h	Exp.1	0.651943163113642
2 h	Exp.1	0.84944917917373
2 h	Exp.1	0.493971223383347
2 h	Exp.1	0.547015087550494
2 h	Exp.1	0.541612915521719
2 h	Exp.1	0.481769175905195
2 h	Exp.1	0.546751193802153
2 h	Exp.1	0.662960874497158
2 h	Exp.1	0.641447970310138
2 h	Exp.1	0.527266530217623
2 h	Exp.1	0.481646979828102
2 h	Exp.1	0.539665541464336
2 h	Exp.1	0.487489673778131
2 h	Exp.1	0.502374833808491
2 h	Exp.1	0.499345407213453
2 h	Exp.1	0.482954867835092
2 h	Exp.1	0.49464997879538
2 h	Exp.1	0.554784402105855
2 h	Exp.1	0.496791610504569
2 h	Exp.1	0.551888366840667
2 h	Exp.1	0.418610411714962
2 h	Exp.1	0.527586239721541
2 h	Exp.1	0.438392677387402
2 h	Exp.1	0.563612975632428
2 h	Exp.1	0.511043010917999
2 h	Exp.1	0.454177025532307
2 h	Exp.1	0.657969242993587
2 h	Exp.1	0.446939100667359
2 h	Exp.1	0.459049413255525
2 h	Exp.1	0.424983607046275
2 h	Exp.1	0.560647733615635
2 h	Exp.1	0.581617465036668
2 h	Exp.1	0.495749646213137
2 h	Exp.1	0.47982973222312
2 h	Exp.1	0.503941655184249
2 h	Exp.1	0.495735988461981
2 h	Exp.1	0.460177690048818
2 h	Exp.1	0.599523768959664
2 h	Exp.1	0.482230462554848
2 h	Exp.1	0.715071237660161
2 h	Exp.1	0.491716985827557
2 h	Exp.1	0.497467872928398
2 h	Exp.1	0.470215278068977
2 h	Exp.1	0.481282501868602
2 h	Exp.1	0.993344090559034
2 h	Exp.1	0.516762218469968
2 h	Exp.1	0.433296297168499
