cond	sd
6 h	0.173468343596876
6 h	0.224399186389352
6 h	0.206453831798598
6 h	0.282158728244078
6 h	0.207130034322385
6 h	0.198398021637096
6 h	0.195099926264904
6 h	0.0642907385792269
6 h	0.175312845744094
6 h	0.228040565327031
6 h	0.195399036012358
6 h	0.211733573344482
6 h	0.225066015903635
6 h	0.199674298801366
6 h	0.217464116331628
6 h	0.229212925320376
6 h	0.208947972959938
6 h	0.293073508444946
6 h	0.229238103801485
6 h	0.22561602564233
6 h	0.258815305079749
6 h	0.2504168885078
6 h	0.213511118751026
6 h	0.242373408949089
6 h	0.220604517520535
6 h	0.213131850551556
6 h	0.257390190337391
6 h	0.268279716804835
6 h	0.197846079580578
6 h	0.242664516784913
6 h	0.271214737277595
6 h	0.249810282856819
6 h	0.22425679853282
6 h	0.247182887714394
6 h	0.142774385617986
6 h	0.120514010164472
6 h	0.209415034068377
6 h	0.211357893148761
6 h	0.204544957797778
6 h	0.211221161110712
6 h	0.264443947433132
6 h	0.218411523308841
6 h	0.232768065200189
6 h	0.14333600645846
6 h	0.125404291221829
6 h	0.196053887070365
6 h	0.231117572052927
6 h	0.127337705283401
6 h	0.167319317368702
6 h	0.201243036938747
6 h	0.209768287788932
6 h	0.106337628807153
6 h	0.144075777338752
6 h	0.231517256620465
6 h	0.161073641066766
6 h	0.215134533833712
6 h	0.244618646984602
6 h	0.138919949463876
6 h	0.138987560462861
6 h	0.177777028104195
6 h	0.241469385465279
6 h	0.176024355887764
6 h	0.189917338026569
6 h	0.240072608863757
6 h	0.167432046553728
6 h	0.22535907392987
2 h	0.181076784201634
2 h	0.10866810659037
2 h	0.147276534790193
2 h	0.172627731039497
2 h	0.114006613049937
2 h	0.147106642833326
2 h	0.093439056017082
2 h	0.188086246458428
2 h	0.24150717291415
2 h	0.11533217975419
2 h	0.208034909631453
2 h	0.213983107953809
2 h	0.276237955734355
2 h	0.238125468105278
2 h	0.220686795237983
2 h	0.180642187713087
2 h	0.239195377190167
2 h	0.151471361672868
2 h	0.173400395310882
2 h	0.158416176744562
2 h	0.183027385333637
2 h	0.163576241380563
2 h	0.168672881944385
2 h	0.197220003823129
2 h	0.158831025885115
2 h	0.144614666629882
2 h	0.183359996297559
2 h	0.162430012047239
2 h	0.208098831683891
2 h	0.285243244614466
2 h	0.167663189682381
2 h	0.21960206572573
2 h	0.138791136406243
2 h	0.174028700056558
2 h	0.191218258944131
2 h	0.160606347201452
2 h	0.221335199703862
2 h	0.177374449159242
2 h	0.160678412790062
2 h	0.183053419098519
2 h	0.168657175173599
2 h	0.185317977609312
2 h	0.254492896006728
2 h	0.0700699736082764
2 h	0.0828120381193618
2 h	0.162112813386789
2 h	0.181519332327535
2 h	0.165724486309058
2 h	0.160851300765351
