comp	GPSeq
A2	0.723692365490275
A2	0.685222834021742
A2	0.518183766185436
A2	0.565223432311825
A2	0.545252953541234
A2	0.473359744298731
A2	0.382577914831917
B3	0.381364821057341
B3	0.388543013951866
B3	0.448842815452363
B3	0.44070474292401
B3	0.453741882060483
B3	0.386849362692849
B3	0.355050595031908
B3	0.405223039192184
B3	0.296708625805829
B3	0.349847059739928
B3	0.377654611303384
A2	0.371692561590187
A2	0.220680959589152
A2	0.371720557363584
B3	0.350023672944944
B3	0.334318858092282
B3	0.457846814055905
B3	0.302723016436089
B3	0.338967183648578
B3	0.422084828404998
B3	0.366921264697988
B3	0.382634847287405
B3	0.410587567000209
B3	0.721539212400685
B3	0.472055919258951
B3	0.403948992513284
B3	0.303652968575228
B3	0.431106546309191
B3	0.409547435888521
B3	0.358708676204193
B3	0.383551627240278
B3	0.353649950498283
A2	0.378610842219305
A2	0.457868041784798
B3	0.334765214110466
B3	0.391470002459261
B3	0.42726354173412
B3	0.332249314724115
B3	0.329722070953041
B3	0.330596426384519
B3	0.414654532986176
B3	0.425154454647301
B3	0.349439249572693
B3	0.367874041512405
A2	0.339644480728303
B3	0.276237733079723
B3	0.420548525617512
B3	0.502464846156822
B3	0.379010413290454
B3	0.356019596644953
B3	0.367366580861587
B3	0.354107337702433
B3	0.293219313609022
B3	0.356883329321642
B3	0.248342251353116
B3	0.307313314798653
B3	0.367870205886749
A2	0.236100304748852
A2	0.392447859711897
A2	0.293640811648525
A2	0.310248614490005
A2	0.430784904570721
A2	0.475781311951828
A2	0.278017747996021
A2	0.478960827603296
A2	0.46761052363781
A2	0.513794586243529
A2	0.401693754485026
A2	0.38066068496958
A2	0.581349447923721
A2	0.473626841206519
A2	0.410359648150527
A2	0.448363681848678
A2	0.329948904991112
A2	0.51416994029309
A2	0.428155767704102
A2	0.338085804127018
A2	0.468142646470151
A2	0.34535058547664
A2	0.533684720792136
A2	0.385935911959968
A2	0.4968981814734
A2	0.470495517011026
A2	0.41037110965124
B3	0.347990532555905
B3	0.385939262451372
B3	0.328762832595379
B3	0.43463047111633
B3	0.386970906007751
B3	0.420193485191767
A2	0.45183040730794
A2	0.285419937855527
A2	0.363483868169537
A2	0.335982797640217
A2	0.482113925802797
A2	0.397245946680064
A2	0.305042030475138
A2	0.464884515729828
A2	0.368776373485142
A2	0.42200346178038
B3	0.355294896228582
A2	0.316642450948688
B3	0.492832198159099
B3	0.303801282327594
B3	0.365452497068415
B3	0.413601570850301
B3	0.455108955858297
B3	0.42722099068982
B3	0.37937738195361
B3	0.344520196804879
B3	0.309169479798982
B3	0.324590185851069
