cond	dln
6 h	0.523068322609427
6 h	0.648829732851784
6 h	0.5471403911848
6 h	0.600905352920111
6 h	0.620518249915778
6 h	0.589892362573231
6 h	0.720427582342722
6 h	0.583753669740568
6 h	0.582861086370659
6 h	0.690516210866165
6 h	0.75
6 h	0.573790531681744
6 h	0.57598820033795
6 h	0.604491684091684
6 h	0.790830200792092
6 h	0.702060367957534
6 h	0.595749629556066
6 h	0.648248577913167
6 h	0.499651319602974
6 h	0.703573213645143
6 h	0.610762987015915
6 h	0.606728870813577
6 h	0.552749971154847
6 h	0.61929954115864
6 h	0.562441216825496
6 h	0.663838978531215
6 h	0.547045789420169
6 h	0.566336849100933
6 h	0.609043656494252
6 h	0.574190637351682
6 h	0.598490096988282
6 h	0.565863057643323
6 h	0.746409867565594
6 h	0.653856467266818
6 h	0.661157973978286
6 h	0.576550964512189
6 h	0.554635971627667
6 h	0.626422289721792
6 h	0.663159120275526
6 h	0.628680434714496
6 h	0.572991775643523
6 h	0.548334748158651
6 h	0.537777888141551
6 h	0.514320390522477
6 h	0.534590190111384
6 h	0.546936146565227
6 h	0.6534122477079
6 h	0.612436010908755
6 h	0.604200523994346
6 h	0.490984257065914
6 h	0.569584461790368
6 h	0.541325862163238
6 h	0.516341455740127
6 h	0.578655506381626
6 h	0.535286593167889
6 h	0.494190390178686
6 h	0.538634118916409
6 h	0.50677754521311
6 h	0.512867773026048
6 h	0.534428220684721
6 h	0.558139592617472
6 h	0.567325192558788
6 h	0.632510444410327
6 h	0.573093112126208
6 h	0.465991228460579
6 h	0.644424060331579
6 h	0.610713472210041
6 h	0.586728637396479
6 h	0.56
6 h	0.553412695174724
6 h	0.635063165410236
6 h	0.536811870811188
6 h	0.602289459192096
6 h	0.578262824306509
6 h	0.540390773360302
6 h	0.639001765695551
6 h	0.626401604714559
6 h	0.506514518140067
6 h	0.673984261074483
6 h	0.61768604251475
6 h	0.582508218923818
6 h	0.704605168946876
6 h	0.543066507419771
6 h	0.599149310662717
6 h	0.571853009003967
6 h	0.602150616768827
6 h	0.420732329607919
6 h	0.598279199543097
6 h	0.391277884646002
6 h	0.596578996969352
6 h	0.583530098601318
6 h	0.563033589811225
6 h	0.558048897863858
6 h	0.570647837856811
6 h	0.549655743017582
6 h	0.516054284507647
6 h	0.623722294161257
6 h	0.560469866425816
6 h	0.496045239090823
6 h	0.500437823442292
6 h	0.624541003664315
6 h	0.745012202449241
6 h	0.695922820870586
6 h	0.545185003997512
6 h	0.768560928112141
6 h	0.581867996104573
6 h	0.539607766672388
6 h	0.612249224179974
6 h	0.653785914543981
6 h	0.583207958612955
6 h	0.678066575286794
6 h	0.641060020850186
6 h	0.557096653709581
6 h	0.536095544470021
6 h	0.626887301710446
6 h	0.632130956819353
6 h	0.597191389755583
6 h	0.591625214166392
6 h	0.605436661562081
6 h	0.640169007251796
6 h	0.569060500398967
6 h	0.675421826179512
6 h	0.664113546635027
6 h	0.593287741780719
6 h	0.528660582902722
6 h	0.682737240417276
6 h	0.60414598013718
6 h	0.594873594564395
6 h	0.596829376761852
6 h	0.614319959300005
6 h	0.548817957920279
6 h	0.61734045234882
6 h	0.546228718439488
6 h	0.592281469796507
6 h	0.56418570618643
6 h	0.571330913315411
6 h	0.515215960725408
6 h	0.544091791638454
6 h	0.712570461357176
6 h	0.596563961893099
